haiku,summary
"motivate yourself
 by eating so much you have
to go to the gym","Overeating as motivation to exercise.
"
"spilling a lot of
 pet food is just an easter
egg hunt for your dogs","Spilled pet food becomes a fun game for dogs.
"
"They say happiness
 is the key to life well I
guess I found my key","Finding happiness unlocks a fulfilling life.
"
"Train coming now I
 get to it and go to school
But l will be late","A student rushes to catch a train for school but will likely be late.
"
"being a woman
 who is both soft and strong is
a beautiful trait","A woman's strength and softness are beautiful.
"
"Why am I craving
 mac 'n cheese right now Did I
ask for this No sir","A sudden, inexplicable craving for mac 'n cheese.
"
"Sometimes I feel like
 I've slept so well that my is
the best place on earth","Feeling content and at peace after a restful sleep.
"
"When a song reminds
 your friends of you and they text
call when they hear it","A song evoking memories of someone prompts friends to reach out.
"
"Mick Jenkins is in
 a league of his own when it
comes down to writing","Mick Jenkins' writing is unmatched.
"
"the charging point broke
 and smoke comes out of it when
i try to charge it","A broken charging point is emitting smoke during a charging attempt.
"
"I need serious
 help with my essay I don't
understand a word","Essay troubles, needs help.
"
"I saw the shadows
 At the judgement virtue rules
Passion always grows","Virtue prevails over passion in the end.
"
"Tomlinson surprise
 me with a follow when i
wake up i love you","Elation over a social media follow from Tomlinson.
"
"That one is seeking
 for attention why all the
threats Spill we hear u","Someone is making threats to get attention.
"
"we're taking down the
 wallpaper in my bathroom
and it just looks bad","Removing wallpaper reveals an ugly bathroom.
"
"I don't always lose
 my phone but when I do its
always on silent","A person loses their phone, which is always on silent, making it hard to find.
"
"I miss being friends
 with certain people can't lie
Hope y'all doing well","Missing old friends and hoping they're doing okay.
"
"Congratulations
 on being offended it
doesn't mean you're right","Being offended doesn't equate to being correct.
"
"Im just now waking
 up g This how you know I
be missing home home","Waking up and missing home.
"
"Stop claiming you a
 freak if all you do is just
lay there on your back","Stop seeking attention by calling yourself a freak if you're just lazy.
"
"Terrified to bring
 my son into this world as
fucked up as it is","Fear about the state of the world when bringing a child into it.
"
"whoever's shipping
 starker can drop the fuck out
of following me","Someone is annoyed with people who ship Starker (a romantic pairing of Tony Stark and Peter Parker) and wants them to unfollow them.
"
"Super thankful that
 I made it past the last few
weeks There is a God","Gratitude for overcoming recent challenges, attributing it to divine intervention.
"
"Enjoy the time you
 have now Live in this moment
and never look back","Live in the present moment.
"
"In all pop culture
 the god of thunder always
controls lightening","Thor's pop culture depiction focuses on his control over lightning.
"
"last day off until
 new year's eve here we go let's
get this christmas bread","Back to work after a short break, time to bake Christmas bread.
"
"What conversation
 have you had with yourself with
regards to this year","Reflecting on the past year in personal dialogue.
"
"So I keep drinking
 water thus making me have
to get up to pee","Drinking water leads to frequent urination.
"
"thanks for the follow
 can you enlighten me on
what a star child is","Someone is asking for an explanation of what a star child is after receiving a follow.
"
"I had an awesome
 weekend and made it to work
on time this morning","A great weekend leads to a punctual Monday.
"
"My boyfriend's friends are
 more real and down the past few
years than my own friends","Drifting apart from old friends, finding connection with boyfriend's friends.
"
"Your EX Raid system
 is drunk Please go back to the
drawing board with this","The EX Raid system is flawed and needs to be redesigned.
"
"Been trying to drink
 at least up to a gallon
of water a day","Trying to drink enough water daily.
"
"i wish i didn't
 procrastinate so hard on
folding my laundry","Regret over procrastinating on laundry.
"
"mission before the
 drake concert is to get the
scorpion jacket","A quest for a Drake jacket before a concert.
"
"I'm not racist I
 have a white boyfriend I don't
treat him that well though","Denial of racism followed by poor treatment of a white boyfriend.
"
"Nothing good comes from
 liking feet Let that thread be
a lesson to you","Foot fetish is bad.
"
"One of the hardest
 things in life is sneezing with
a mouth full of food","The struggle of sneezing with a mouthful.
"
"Johnson was falling
 to the ground and still trucked the
shit out the hitman","A man named Johnson, despite falling, powerfully defeats a hitman.
"
"It's rewarding to
 see my son implementing
all that I teach him","A parent's joy in seeing their child learn and apply their teachings.
"
"playing what the meme
 with your grandparents is a
whole nother ball game","Playing internet memes with grandparents can be a very different experience.
"
"Francis come here She
 calls from his room don't ask her
how she got in there","A mysterious woman calls Francis from his room, her presence unexplained.
"
"RIP Stephen Hawking
 The most inspiring man in
the world of science","A tribute to Stephen Hawking's inspiring contributions to science.
"
"One of my deepest
 regrets is looking up why
Drake Bell was trending","Regret over discovering why a celebrity was trending.
"
"What a beautiful
 song I am so proud of you
I love you so much","A song is sung, expressing love and pride.
"
"can you believe we're
 getting the captain marvel
trailer tomorrow","Excitement for the upcoming Captain Marvel trailer release.
"
"Well deserved honor
 for a great coach and a great
guy Congrats to Hal","Congratulations to Hal for a well-deserved honor.
"
"how are you sometimes
 i feel like a pirate fish
with a ghost stuffed moose","A strange and whimsical feeling of being a pirate fish with a ghost moose.
"
"You should be writing
 like a pretender dreaming
of a tomorrow","Dreaming of a future self's writing.
"
"A strong argument
 for prenatal genetic
manipulation","Ethical consideration of gene editing before birth.
"
"Catching up with some
 old friends tonight it should be
fun it's been so long","Reuniting with old friends after a long time, anticipating a fun evening.
"
"Just dropping by to
 say thank you for following
me here on twitter","A brief, grateful acknowledgment of a new follower on Twitter.
"
"I'm disappointed
 Immigrant song didn't play
when Thor appeared on","A fan is disappointed that a specific song didn't play during a Thor appearance.
"
"just because something
 needs to be told doesn't mean
it needs to be heard","Not everything that needs saying needs to be heard.
"
"Congratulations
 What a wonderful start to
the new year God bless","A blessing for a fresh start to the new year.
"
"Tell me two baseball
 players you confuse with each
for no good reason","A lighthearted observation about confusing two baseball players.
"
"That peach color scheme
 background is just perfect in
unfair ways right now","A beautiful peach background is envied.
"
"To encourage risk
 taking and innovation
you must reward it","Reward risk-taking and innovation to foster them.
"
"I would always pay
 for a girls nails if they scratched
my back feels chronic","A person is willing to pay for a woman's manicure in exchange for back scratches, implying they have chronic back pain.
"
"Yes because we left
 the pace bowlers and spinners
at home you Muppet","A sarcastic remark about leaving skilled bowlers behind, likely resulting in poor performance.
"
"What are you putting
 your faith in If it's not GOD
you have a problem","Faith should be in God.
"
"And she doesn't need
 the implants like most other
competitors lol","A woman in a competition doesn't need breast implants like the other competitors.
"
"Record That's not a
 white Christmas then is it that's
a white boxing day","A white Christmas didn't happen, but a white Boxing Day did.
"
"Now Grabner is out
 Ugh this poor team keeps getting
slammed with injuries","A hockey team is suffering from a lot of injuries, with Grabner being the latest player out.
"
"Thankful I didn't
 go Black Friday shopping and
just bought shit online","Avoiding Black Friday crowds by shopping online.
"
"sometimes you just need
 to lay on the couch and do
nothing for three years","Sometimes, taking a long break to do nothing is necessary.
"
"Aravind we have made
 a note of your concern You
will hear from us soon","A promise of a response to Aravind's concern.
"
"She said Father God
 when I get to heaven please
let me bring my man","A woman hopes to bring her husband to heaven.
"
"You sent that painting
 to him As a sign A sign
of undying love","A painting is sent as a symbol of eternal love.
"
"I hate working out
 but i love the accomplished
feeling afterwards","Exercise is disliked, but the feeling of accomplishment after is enjoyed.
"
"A students end up
 working for C students who
built things on there own","The ""A"" students work for the ""C"" students who were entrepreneurial.
"
"desperate for people
 at my job in Prior lake
if that's not too far","A business in Prior Lake is struggling to find employees.
"
"I hate myself for
 watching the crew game This shit
is literal trash","Expresses self-loathing while watching a bad ""crew game.""
"
"A plan doesn't have
 to go your way so long as
it's going God's way","Surrender to God's will when plans fail.
"
"I'm calling it now
 Tigers and Phillies will face
off in October","Predicting a Tigers-Phillies World Series matchup.
"
"Shine bright tonight you
 and i we're beautiful like
diamonds in the sky","Two people are shining brightly together, like diamonds in the sky.
"
"Driving my car with
 no heat makes me want to drive
it off of a cliff","Driving in a cold car is frustrating.
"
"The moment you want
 to quit is the moment you
need to keep pushing","Perseverance is key even when you feel like giving up.
"
"Intelligence looks
 out for their own Couldn't be
more proud of my team","A leader expresses pride in their team's intelligence and self-reliance.
"
"Not taking my place
 at his crotch I hope Back of
the head not the mouth","Concern about the placement of one's face, hoping it's behind the head, not at the crotch or mouth.
"
"This fan is scaring
 me Make e no fall on my
head before morning","Fear of a falling fan.
"
"Rose returns to the
 hill for his first full inning
of work in the third","A baseball player, Rose, pitches in the third inning.
"
"home isn't where you're
 from it's where you find light when
all grows dark pierce brown","Home is not about origin, but about finding light in darkness.
"
"did the Yankees miss
 another thing with Bird no
way this just popped up","The Yankees are missing something due to Bird's absence.
"
"A combination
 of both but most of all the
mental strength I had","Inner strength in overcoming a challenge.
"
"Sometimes I feel like
 I don't exist And sometimes
I wish I didn't","Existential angst and a wish for non-existence.
"
"I'm terrified of
 heights so tell me why i got
on a ferris wheel","Fear of heights juxtaposed with the choice to ride a Ferris wheel.
"
"Lets start with normal
 wisdom first See if that sticks
then move up from there","Starting with simple wisdom and building upon it.
"
"Sometimes you try to
 help that awesome friend of you
the best way you can","Helping a friend in the best way possible.
"
"I just be wanting
 friendships from some females but
they always want more","Yearning for platonic female friendships that are complicated by unwanted romantic interest.
"
"The lips of wisdom
 are closed except to the ears
of Understanding","Wisdom is only revealed to those who understand.
"
"giants I would think
 that it would have to end up
on his face and shirt","Giants and where the aftermath might land.
"
"Never did witchcraft
 in my life Witchcraft was done
to me and my kids","Accusations of witchcraft and its impact on a family.
"
"Nope because they have
 no moral compass the ends
justify the means","Lack of morality; ends justify means.
"
"Rejoice and be glad
 for your reward is great in
heaven Jesus Christ","A promise of heavenly reward through Jesus Christ.
"
"i hate the feeling
 of having like clogged ears due
to colds and sore throat","A haiku about the unpleasant sensation of having clogged ears due to a cold and sore throat.
"
"don't take offense to
 this but i just don't get the
point in cigarettes","The speaker doesn't understand the appeal of cigarettes.
"
"Fuck weekends They do
 nothing but bring false hope Back
to work tomorrow","The haiku expresses disappointment and resentment towards weekends, viewing them as a source of fleeting hope before the return to work.
"
"Never been this late
 to work man Note To Self Son
Birthday is NOT Yours","A forgetful person is late to work because they mistakenly thought it was their birthday.
"
"I'll never forgive
 myself for not going to
see Mac in concert","Regret over missing a Mac Miller concert.
"
"Another cam poll
 If I get on cam this week
will you be tipping","A person is asking for tips if they go on camera this week.
"
"I'm begging you to
 come to Dallas I'll be the
first to buy tickets","Pleading for someone to visit Dallas and promising to buy tickets.
"
"i miss being spoiled
 by my parents some stuff i
never had to do","Nostalgia for childhood comforts and parental care.
"
"The way I'm feeling
 right now if you're not bringing
joy to my life leave","If you don't bring joy, leave.
"
"MY BROTHER DRIVING
 MY CAR N IM IN THE BACK
SEAT THIS SHIT FEEL WEIRD","An unusual feeling of role reversal between siblings in a car.
"
"Always remember
 Grapes relieve fatigue migraines
and constipation","Grapes are good for your health.
"
"Beyond praying what
 will the Senate do Wait for
the next incident","The Senate's inaction on gun violence.
"
"I deserved a break
 from all the stress I had for
the past week Thanks G","Needing and receiving a break from a stressful week.
"
"Bruins took it to
 the Habs tonight That was an
excellent road win","The Bruins won an away game against the Montreal Canadiens (Habs).
"
"I dined inside Chick
 fil A for the first time and
it felt magical","First Chick-fil-A experience was magical.
"
"Try to tell myself
 to don't be foolish and make
another mistake","Resisting the urge to repeat a past mistake.
"
"I learn lessons and
 project them in my OWN words
additional thoughts","Learning and expressing original thoughts.
"
"It's October which
 means the Spirit Veil is as
thin as my patience","October's arrival brings a heightened sense of the supernatural, testing the speaker's patience.
"
"I don't mind texting
 first all the time it depends
who the person is","The speaker is willing to initiate texts depending on the recipient.
"
"Another last day
 in US same old feeling of
something incomplete","Lingering dissatisfaction on a final day in the US.
"
"The morning session
 training was on how to use
Household listing form","Training on using a household listing form.
"
"Focus on what you
 DO have and what you ARE good
at and you'll be fine","Focus on your strengths and abilities to succeed.
"
"nice recruiters now
 stalking where I might appear
so that we can meet","Recruiters are actively seeking out potential candidates.
"
"sleeping next to bae
 and waking up next to them
is such a blessing","Waking up next to a loved one is a blessing.
"
"Moderates need to
 go to the poles and clean out
the house and Senate","Moderate politicians should take action to reform the government.
"
"i'm starting to feel
 that certain women isn't
winning best picture","A prediction or opinion that a film with women in leading roles won't win Best Picture.
"
"Good morning Just got
 out of a meeting When is
the Berlin concert","A person just out of a meeting asks about a Berlin concert.
"
"yo if you've never
 been drunk and then like owned a
dog you should try it","Drunkenly owning a dog is a worthwhile experience.
"
"When life ain't going
 right What you just gone give up
Or keep it moving","Keep going despite life's challenges.
"
"lol that seasonal
 depression hit almost as
fast as the snow did","Seasonal depression arrives quickly, like the first snow.
"
"Important update
 this is now a squirrel AND
bear account Thank you","A humorous account update announcing a shift to covering both squirrels and bears.
"
"It is better to
 trust in the LORD than to put
confidence in man","Trust in God over reliance on humans.
"
"Boy if you confess
 you might get blessed See if you
deserve what comes next","Confession's potential rewards and the question of worthiness.
"
"Why am I tearing
 for Adele Live concert in
Royal Albert Hall","Moved to tears by Adele's performance.
"
"Some Tailors won't start
 sewing till the day you want
to collect the dress","Tailors procrastinate until the last minute.
"
"Max Gail has always
 been top notch He didn't have
to mature into","Max Gail was always a great actor.
"
"With God it isn't
 who you were that matters it's
who you're becoming","God cares more about your future self than your past.
"
"Wonder what it's like
 for your parents to be proud
of you must be nice","Yearning for parental pride.
"
"Brilliant result for
 Bradley well done to him I
love the photos too","Praise for Bradley and his photos.
"
"Those butterflies you
 get in your stomach when you're
up for a great job","Excitement and anticipation for a job opportunity.
"
"we where monkeys with
 out a god man loves to make
up things look at films","Humans, descended from monkeys, invent stories and gods.
"
"The more you focus
 on your vision the more your
fears will become blurred","Focusing on goals diminishes fears.
"
"Who are you taking
 as your Pistons All Star rep
Drummond or Harris","Debate over who should represent the Pistons as an All-Star.
"
"received some complaints
 regarding my display name
so i have changed it","A user changed their display name due to complaints.
"
"I'm going to fight
 my professor if she does
not put my grades in","Frustration with a professor over missing grades, threatening a fight.
"
"if you could describe
 mellie in three words what would
they be love you bells","Love, Mellie, bells.
"
"This cricket needs beer
 so I will do the right thing
and proceed to Tops","A person is going to the store to buy beer for a cricket.
"
"I wonder what my
 professor would say if I
brought my dog to class","A student contemplates bringing their dog to class and what the professor's reaction would be.
"
"One lawyer can steal
 more than a hundred men with
guns The Godfather","Lawyers can be more destructive than armed men.
"
"Sleeping with an ice
 pack in my pillow case let's
see how this pans out","Trying to sleep with an ice pack for comfort.
"
"Eggplants Why are you
 handing me eggplants I do
not like them you know","Someone is being given eggplants despite disliking them.
"
"I understand your
 point and u need sleep Please this
is for ur health mom","A child urges their mother to sleep for her health.
"
"Grizzlies so ass Free
 big Spain and send Conley to
the Spurs or something","A bad Grizzlies team needs to trade Mike Conley, possibly to the Spurs.
"
"pretending im so
 good at it but you'll never
know im doing it","Someone is pretending to be good at something, but hiding the fact that they are pretending.
"
"Trees and ornaments
 Spring colors dance through my mind
The end of all things","A reflection on the beauty of spring and the acceptance of endings.
"
"I'm turning into
 a morning person I don't
recognize myself","A person is becoming a morning person and feels like a stranger to themselves.
"
"i hate being a
 perfectionist i take so
long on work sometimes","The struggle of perfectionism and its impact on productivity.
"
"Drummond didn't make
 the all star team lol Voting
process is a joke","A player was snubbed from the all-star team, prompting complaints about the voting system.
"
"YOU'RE MY ROLE MODEL
 MY SAVIOR NEVER GIVE UP
GIRL ALWAYS WITH U","An encouraging message of support and admiration for a female role model.
"
"How Republican
 of him I'll bet Mike Pence just
flat out loves this guy","A sardonic comment on Mike Pence's political alignment with a Republican figure.
"
"bird thank you sketching
 is my favorite part of
the drawing process","The joy of sketching is likened to a bird's gratitude.
"
"for words my shipment
 tracking says the albums will
be here tomorrow","Anticipation for an album delivery.
"
"sometimes it come to
 a point where there is no love
lost and no love found","A point of emotional neutrality, devoid of both loss and gain in love.
"
"She feels like having
 a graveyard in your sleep and
where can i buy it","A person desires the feeling of unease or dread associated with a graveyard in their sleep.
"
"I tend to forget
 that I just eat what I can
when I don't forget","Forgetting leads to eating whatever is available.
"
"President of the
 International Union
of Socialist Youth","A title or position within a socialist youth organization.
"
"Some personal news
 I just joined a gym for the
first time in my life","The author is excited to start going to the gym.
"
"More like a apron
 than a skirt He got jogging
pants on with the stripe","The poem humorously contrasts mismatched clothing items: an apron-like skirt and sporty jogging pants.
"
"Why does rap music
 seem like it keeps getting more
and more demonic","A questioning observation about the perceived increasing darkness in rap music.
"
"Living my best life
 is tiring I might be done
with that for the week","Being ""living my best life"" is exhausting and needs a break.
"
"I was wondering
 if you were going for a
holiday spice pun","A pun involving holiday spices is anticipated.
"
"So you bringing it
 to the newsroom for us who
are working or what","Someone is bringing something (possibly food) to the newsroom for those who are working.
"
"Before you start a
 war you better know what you're
fighting for The Cab","Consider your motivations before starting a war.
"
"I cannot WAIT to
 gorge myself on Indian
food when I'm back home","Anticipation of enjoying Indian food upon returning home.
"
"and another missed
 call in the cubs brewers game
You guys are useless","A frustrating missed call in a baseball game.
"
"a briar is an
 expiration first name and
nitrogen fixing","A briar bush, associated with death and nitrogen fixation.
"
"my mom bought herself
 a hamster and i have to
go to pick him up","A person is tasked with picking up a hamster that their mom bought.
"
"Pretending to be
 heartless is so played out Just
say what's on your mind","Express yourself honestly instead of pretending to be heartless.
"
"I'm going to make
 the stars of heaven a way
to walk towards you","A romantic intention to create a pathway of stars to reach a loved one.
"
"so in other words
 we're forcing children into
this world to suffer","Children are born into a world of suffering.
"
"Blossoms start to fall
 Wallowing beneath the sky
Sun plays through the leaves","The beauty of falling blossoms and sunlight filtering through leaves.
"
"went thru pictures of
 how my skin used to be shit
my skin was bad bad","Reflecting on past skin issues.
"
"Well what you going
 to do if the Ballas roll
through throw shoes at them","A confrontation with the Ballas gang is suggested, with the speaker proposing to throw shoes at them.
"
"In addition to
 their war on science they have
a war on grammar","Political group attacking science and grammar.
"
"thinking back to the
 time when i saw FLOW live that
was a great concert","A fond memory of attending a great FLOW concert.
"
"I wonder what does
 the Japanese guys feels with
their perfect straight hair","A person wonders about the feelings of Japanese people with straight hair.
"
"I like seeing a
 collection of stuff that the
collector enjoys","Appreciating a collector's passion through their collection.
"
"Before you know it
 Friday Don come Another
round of holiday","The anticipation and quick arrival of a Friday holiday.
"
"Untied should win this
 game with that squad regardless
of who is in charge","Untied is expected to win despite leadership.
"
"I think that women
 should put pictures of missing
husbands on beer cans","Humorous suggestion to use beer cans to find missing husbands.
"
"a commissioner
 is a suitor masterful
but not plundering","A commissioner is a skilled and respectful pursuer, not a exploitative one.
"
"Having a group chat
 with some of y'all discussing
dope topics would be","A desire for engaging group conversations.
"
"being the other
 woman is just as bad as
being the cheater","Both the ""other woman"" and the cheater share blame for the betrayal.
"
"Liverpool isn't
 looking too hot might be time
for a switch of teams","Liverpool's poor performance suggests a change of allegiance.
"
"would you be willing
 to be in my student film
asking for a friend","A shy request for someone to be in a student film, delivered through a friend.
"
"We need passion and
 compassion to be fruitful
in the work of God","Passion and compassion are needed to do God's work.
"
"SO WONderful Day
 I'm hoping they'll add more and
add Philippines too","Expressing joy for a ""wonderful day"" and hoping for future additions, including the Philippines.
"
"whitney How did I
 know this guy was from Vine just
by looking at him","Recognizing someone from their Vine fame.
"
"disregard my last
 quote tweet cast your votes here how
is women pronounced","A Twitter poll asking how ""women"" is pronounced.
"
"Throwing cigarette
 butts out the window is still
littering you fucks","Don't litter by throwing cigarette butts out the window.
"
"Unwrapped a gift from
 my sister and now I look
like I blew a clown","A gift from a sister resulted in garish makeup.
"
"just told my parents
 it's on trend to wear sneakers
with zip ties silence","A person convinces their parents that wearing sneakers with zip ties is fashionable.
"
"Boneless wings are dumb
 They are not wings They are big
ass chicken nuggets","Boneless wings are just chicken nuggets, not real wings.
"
"My future home needs
 a garage fridge that's stacked or
I'm doing it wrong","Prioritizing a well-stocked garage fridge in a future home.
"
"Ah welcome back What's
 that I am NOT blushing I'm
just flushed from the heat","A person denies blushing, attributing their flushed face to the heat.
"
"Feeling cold Buy a
 book You'll still be cold but at
least you'll have a book","Being cold and buying a book doesn't solve the cold, but offers the consolation of having a book.
"
"The replays just take
 too damn long Watch it once Twice
tops then make a call","The frustration of lengthy sports replays.
"
"This weekend has been
 one of the best weekends I've
had in a long time","A wonderful weekend is remembered.
"
"It's like going on
 a magical journey through
a world of pictures","A journey into a vivid, imaginative world.
"
"I want my future
 boyfriend husband to be a
faithful man of God","Desire for a faithful, God-fearing future husband.
"
"When you forget that
 you put in to take the day
off and go to work","Forgetting a planned day off and going to work.
"
"not that feminine
 and masculine but I have
them both within me","Internal balance of masculine and feminine qualities.
"
"How do I access
 more Ink stories or is that
one page all there is","Asks if there are more Ink stories beyond the first page.
"
"Simon must be turned
 into a vampire tonight
or staked through the heart","Simon faces a deadly ultimatum: vampirism or death.
"
"Trying to time how
 long it will be until I
have to put on clothes","Delaying getting dressed.
"
"A Will is always
 rewarding unless it is
a hand crafted one","Hand-crafted wills can be problematic.
"
"I love being a
 blondie but its so much work
to maintain it blonde","The speaker enjoys being blonde but acknowledges the effort required to maintain the hair color.
"
"I've never done so
 much college work in my life
how am I not dead","Overwhelmed by college workload, questioning survival.
"
"People can't take jokes
 they always dish out When you
throw it back they cry","People are hypocritical about humor; they can dish it out, but can't take it.
"
"I have been shaving
 and nutting like a madman
for the past nine days","A person has been intensely shaving and masturbating for over a week.
"
"im going to hack
 your twitter account and take
all ur followers","A threat to hack someone's Twitter account and steal their followers.
"
"Still cherish the day
 I met her when we played there
such an awesome cat","Fond memory of meeting someone and their cat.
"
"Following the rules
 and doing what's right is not
always the same thing","Rules and morality can diverge.
"
"You were married to
 a criminal does that make
you a criminal","Guilt by association in marriage.
"
"Stop asking questions
 when you know you can't handle
the honest answer","Avoid asking questions if you're not prepared for the truth.
"
"Stay focused on your
 own life Focus on your goals
Believe in yourself","Focus on personal goals and self-belief.
"
"Lockett would have let
 that ball go to be downed at
the one by the Rams","Lockett might have strategically let a catch fall short to avoid a risky play near the goal line against the Rams.
"
"My fat ass almost
 got stuck trying to get up
off the playground step","Struggling to rise from a playground step due to weight.
"
"A man shouldn't be
 so fragile you know It's your
job to protect us","A plea for men to be strong and protective.
"
"DO YOU THINK LYNDON
 B JOHNSON WAS EXPECTING
A SCENE SUCH AS THIS","Lyndon B. Johnson's unforeseen legacy.
"
"Great Britain has to
 get its s t together
Take your country back","A call to action for Britain to reclaim its identity and order.
"
"The real question is
 WHO PRODUCED walk it talk it
he needs he's credit","A plea for proper credit for producing the song ""Walk It Talk It.""
"
"I received a call
 back from the hospital for
a job interview","A job seeker awaits and receives a call for a hospital job interview.
"
"Awesome chat just now
 with Such a swell fellow with
great taste in bad games","A great conversation about bad games between friends.
"
"Low key jealous of
 all my friends who are getting
engaged and married","Envy towards friends reaching marriage milestones.
"
"I've lost my notebook
 and I feel like a part of
my soul is missing","Losing a notebook feels like losing a part of oneself.
"
"Being self employed
 is all fun and games until
you have a tooth ache","The joys of self-employment vanish with the onset of a toothache.
"
"My brains on summer
 mode so like how important
is school tomorrow","A student's mind is still in summer mode, dreading the return to school.
"
"why did i expect
 stray kids to notice me i
am boo boo the fool","Disappointed realization of being foolish for expecting attention from Stray Kids.
"
"Dancing with the stars
 comes on tonight I hope this
season not boring","Hoping the new season of Dancing with the Stars is entertaining.
"
"learn to trust yourself
 there is no one in your life
that is more honest","Trusting yourself is the most honest path.
"
"Bill Pullman It all
 a great We talk joining me
to Questions for him","Bill Pullman participates in a Q&A session.
"
"CAMERAS WITH TEAR
 GAS GRENADES WOULD GO A LONG
WAY TO PROTECT SCHOOLS","Cameras and tear gas as school protection.
"
"i forgot to take
 a picture of the moon but
she looks great tonight","Missing capturing the moon's beauty.
"
"it is finals week
 I just want some hot coffee
let me just go home","Exhaustion and longing for rest during finals week, fueled by a need for coffee.
"
"Be kind to yourself
 and others who are going
through challenging times","Offer kindness during tough times.
"
"What is the proper
 way for toilet paper to
rest on the holder","A humorous observation about the proper way to place toilet paper on a holder.
"
"That player with their
 hood up triggers me I want
my hood up too lol","A player feeling triggered and wanting to emulate another player's style (hood up).
"
"the fingerprint thing
 is convenient but i feel
so dumb doing it","Fingerprint technology is convenient but makes the user feel dumb.
"
"I am not watching
 the game so you will need to
be more specific","The speaker is not watching the game and needs more details.
"
"J Cole makes decent
 music for looking like a
humanized muppet","J Cole's appearance is humorously compared to a muppet, despite making decent music.
"
"And his English makes
 me route for getting rid of
his English teacher","The speaker dislikes someone's English and wishes their teacher would be fired.
"
"I didn't believe
 in love at first sight but you've
shown me what is life","Love at first sight is real.
"
"Watson need his ass
 whooped and the kicker from the
browns need to b shot","A violent reaction to poor performance by Watson and a Browns kicker.
"
"Cherish the treasures
 I have given you just as
I treasure you God","God's love and appreciation for humanity, mirrored in the expectation that humans cherish the gifts they've been given.
"
"Drew under Center
 is why they call TO coach it
up on the Brees leap","A coach, TO, is instructing Drew Brees on a jump technique at the Center.
"
"Super glad I don't
 sip lean no more I used to
do the most for it","The author is happy to have stopped drinking lean, which they previously prioritized.
"
"they turned off global
 warming and turned on global
air conditioning","A quick fix for global warming leads to global cooling.
"
"Hey guys releasing
 my diss track its uploading
to youtube right now","A diss track is being uploaded to YouTube.
"
"my air tel network
 not function for last one month
As well as voice call","A month-long issue with a phone network, impacting both data and calls.
"
"The Malcolm Jenkins
 visit to the White House is
going to be lit","Malcolm Jenkins visiting the White House will be exciting.
"
"old ass picture of
 Pascal for october now
that it hit midnight","A picture of Pascal is being displayed now that it's October.
"
"It's going to be
 a long day I need all the
coffee in the world","A long day requires lots of coffee.
"
"underneath this cool
 exterior there is a
sad human being","Hidden sadness beneath a calm facade.
"
"I still remember
 the feelings I felt when we
first started talking","Remembering the initial feelings of a new connection.
"
"I'm not getting hyped
 up If we keep this lead I
then will be impressed","Remaining calm despite a lead, waiting to be impressed.
"
"Am having problems
 registering online sir
please look into it","Online registration issues.
"
"This race belongs to
 her the ballot in question
cannot be counted","A contested election where a specific vote cannot be counted, affecting a woman's chances.
"
"always vote for the
 healer at the end of a
match or ill freeze u","Vote for the healer or face consequences.
"
"A person has its
 own time has its own progress
and has its own life","Each person's journey and pace through life are unique.
"
"Depression is like
 falling into a black hole
deeper and deeper","Depression as a dark, inescapable descent.
"
"All of my WONDER
 You're the ANSWER I call you
HER Cause you're my TEAR","The author expresses deep admiration and emotional connection to ""HER,"" finding her to be the answer and also a source of tears.
"
"it shouldn't be this
 difficult to get out of
bed in the morning","A struggle to get out of bed in the morning.
"
"Just need Madrid to
 smash Liverpool now and all
is right in the world","Hoping for Real Madrid to defeat Liverpool.
"
"Just finished Christmas
 shopping and my bank account
is SCREAMING for help","Post-Christmas shopping financial woes.
"
"we know your leaving
 so let us trade you now please
waive your no trade clause","A plea to a departing player to waive their no-trade clause.
"
"Had my twitter on
 night mode for so long that day
mode looks proper weird","Habituation to dark mode makes light mode jarring.
"
"If we beat Burnley
 if we beat Burnley We are
rewriting the scripts","A football team's potential victory over Burnley and its significant implications.
"
"i always find the
 best music at this time of
night for some reason","Finding good music late at night.
"
"yo Ellen I can
 roll the fuck out of backwoods
put me on your show","A boastful offer to appear on Ellen's show, highlighting backwoods rolling skills.
"
"Twitter isn't the
 right place to vent so my mum
is my last option","Seeking a more private outlet for frustrations when Twitter proves unsuitable.
"
"i was cleaning my
 keyboard and broke my right shift
key fucking kill me","Keyboard cleaning gone wrong, resulting in a broken shift key and frustration.
"
"Relationships are
 like journeys on what path will
this person take me","Relationships are unpredictable journeys.
"
"Being a Yankee
 fan is so exciting I'm
so pumped for this team","Enthusiasm for the New York Yankees baseball team.
"
"Mood the deafening
 boos when the Patriots came
out of the tunnel","A very negative reaction to the Patriots' entrance.
"
"Put yourself in an
 environment where you know
you're going to grow","Seek surroundings that foster personal growth.
"
"Now that's being a
 Mother Parents quit trying
to be your kids friend","Parents should parent, not try to be friends with their children.
"
"Now I remember
 why I hate leg day never
ending sweat and pain","Leg day is hated for its exhausting and painful nature.
"
"Being patient for
 a blessing is so hard when
stress keep piling up","Patience is difficult amidst mounting stress while awaiting a blessing.
"
"Always cherish the
 moments you never know when
it will be the last","Live in the moment, as it could be your last.
"
"I don't date Dating
 is pointless I hang and chill
I hate the word date","The author dislikes the concept of formal dates, preferring casual hangouts.
"
